Dist	TrNo	Zone	X,m	Y,m	Alt, m	TD, ns	Hice, m	Bed,m
720,71244	405	33X	515905,748	8556639,772	302,0001	3525	296,1	5,9001
723,72556	406	33X	515902,973	8556638,598	302	3532,5	296,73	5,27
726,90632	407	33X	515900,105	8556637,223	301,9658	3537,5	297,15	4,8158
730,18452	408	33X	515897,184	8556635,736	301,9095	3545	297,78	4,1295
733,45742	409	33X	515894,267	8556634,253	301,8485	3550	298,2	3,6485
736,62198	410	33X	515891,41	8556632,893	301,8	3557,5	298,83	2,97
739,60453	411	33X	515888,659	8556631,741	301,777	3565	299,46	2,317
742,41847	412	33X	515886,019	8556630,767	301,7751	3570	299,88	1,8951
745,0954	413	33X	515883,484	8556629,907	301,7857	3577,5	300,51	1,2757
747,66226	414	33X	515881,048	8556629,098	301,8	3582,5	300,93	0,87
750,15247	415	33X	515878,696	8556628,28	301,8105	3590	301,56	0,2505
752,63668	416	33X	515876,371	8556627,405	301,8148	3600	302,4	-0,5852
755,19439	417	33X	515874,006	8556626,431	301,8118	3610	303,24	-1,4282
757,90698	418	33X	515871,535	8556625,312	301,8	3617,5	303,87	-2,07
760,82786	419	33X	515868,915	8556624,021	301,7793	3627,5	304,71	-2,9307
763,8932	420	33X	515866,198	8556622,602	301,7529	3637,5	305,55	-3,7971
767,0113	421	33X	515863,458	8556621,114	301,725	3647,5	306,39	-4,665
770,08912	422	33X	515860,77	8556619,615	301,7	3657,5	307,23	-5,53
773,06072	423	33X	515858,183	8556618,153	301,6802	3667,5	308,07	-6,3898
775,9671	424	33X	515855,65	8556616,728	301,6611	3675	308,7	-7,0389
778,88176	425	33X	515853,097	8556615,322	301,6365	3685	309,54	-7,9035
781,87283	426	33X	515850,453	8556613,924	301,6	3695	310,38	-8,78
784,99303	427	33X	515847,665	8556612,524	301,5477	3705	311,22	-9,6723
788,21686	428	33X	515844,755	8556611,138	301,4848	3715	312,06	-10,5752
791,4927	429	33X	515841,771	8556609,788	301,4186	3725	312,9	-11,4814
794,77647	430	33X	515838,754	8556608,493	301,3567	3732,5	313,53	-12,1733
798,01747	431	33X	515835,751	8556607,275	301,3064	3742,5	314,37	-13,0636
801,16956	432	33X	515832,804	8556606,157	301,2753	3750	315	-13,7247
804,18614	433	33X	515829,958	8556605,157	301,2707	3757,5	315,63	-14,3593
807,02029	434	33X	515827,257	8556604,299	301,3	3762,5	316,05	-14,75
809,67218	435	33X	515824,709	8556603,567	301,366	3770	316,68	-15,314
812,31163	436	33X	515822,181	8556602,813	301,4521	3777,5	317,31	-15,8579
815,1606	437	33X	515819,5	8556601,853	301,5372	3782,5	317,73	-16,1928
818,45583	438	33X	515816,496	8556600,5	301,6	3790	318,36	-16,76
822,33046	439	33X	515813,083	8556598,666	301,6251	3797,5	318,99	-17,3649
826,42784	440	33X	515809,521	8556596,641	301,6204	3802,5	319,41	-17,7896
830,2615	441	33X	515806,154	8556594,808	301,6	3810	320,04	-18,44
833,4704	442	33X	515803,243	8556593,458	301,5755	3817,5	320,67	-19,0945
836,17115	443	33X	515800,718	8556592,5	301,5501	3822,5	321,09	-19,5399
838,58349	444	33X	515798,426	8556591,748	301,5246	3830	321,72	-20,1954
840,91075	445	33X	515796,216	8556591,019	301,5	3837,5	322,35	-20,85
843,31842	446	33X	515793,965	8556590,165	301,4768	3842,5	322,77	-21,2932
845,80209	447	33X	515791,677	8556589,199	301,4536	3852,5	323,61	-22,1564
848,3136	448	33X	515789,387	8556588,168	301,4286	3862,5	324,45	-23,0214
850,80242	449	33X	515787,127	8556587,126	301,4	3872,5	325,29	-23,89
853,22787	450	33X	515784,923	8556586,114	301,3674	3882,5	326,13	-24,7626
855,60136	451	33X	515782,757	8556585,144	301,3357	3892,5	326,97	-25,6343
857,94439	452	33X	515780,604	8556584,22	301,3111	3902,5	327,81	-26,4989
860,28047	453	33X	515778,436	8556583,35	301,3	3912,5	328,65	-27,35
862,63581	454	33X	515776,231	8556582,522	301,3069	3922,5	329,49	-28,1831
865,04405	455	33X	515773,979	8556581,669	301,3288	3932,5	330,33	-29,0012
867,53595	456	33X	515771,678	8556580,713	301,3614	3942,5	331,17	-29,8086
870,1562	457	33X	515769,321	8556579,569	301,4	3952,5	332,01	-30,61
872,93362	458	33X	515766,907	8556578,196	301,4396	3962,5	332,85	-31,4104
875,81797	459	33X	515764,443	8556576,697	301,474	3965	333,06	-31,586
878,73015	460	33X	515761,938	8556575,212	301,4963	3965	333,06	-31,5637
881,59286	461	33X	515759,403	8556573,882	301,5	3965	333,06	-31,56
884,36918	462	33X	515756,845	8556572,803	301,4815	3965	333,06	-31,5785
887,10882	463	33X	515754,265	8556571,882	301,4502	3965	333,06	-31,6098
889,86	464	33X	515751,664	8556570,986	301,4189	3965	333,06	-31,6411
892,66951	465	33X	515749,042	8556569,977	301,4	3965	333,06	-31,66
895,58266	466	33X	515746,398	8556568,754	301,4032	3967,5	333,27	-31,8668
898,59803	467	33X	515743,729	8556567,351	301,4251	3967,5	333,27	-31,8449
901,69112	468	33X	515741,032	8556565,837	301,4595	3967,5	333,27	-31,8105
904,83454	469	33X	515738,301	8556564,281	301,5	3967,5	333,27	-31,77
908,0015	470	33X	515735,534	8556562,741	301,5411	3967,5	333,27	-31,7289
911,18303	471	33X	515732,735	8556561,229	301,5815	3967,5	333,27	-31,6885
914,37783	472	33X	515729,905	8556559,747	301,6204	3967,5	333,27	-31,6496
