Dist	TrNo	X,m	Y,m	Z,m	TD, ns	Hice	Amplitud de la señal	Bed,m
900	0	512211,3059	8551439,303	411,332222	691,767041	57,4167	0	353,915522
903,2	0	512209,8646	8551436,447	411,405049	699,147723	58,0293	0	353,375749
906,4	0	512208,4619	8551433,572	411,476049	704,068177	58,4377	0	353,038349
909,6	0	512207,0535	8551430,699	411,49411	704,068177	58,4377	0	353,05641
912,8	0	512205,6954	8551427,802	411,522089	708,988632	58,8461	0	352,675989
916	0	512204,2862	8551424,93	411,592296	711,448859	59,0503	0	352,541996
919,2	0	512202,8965	8551422,049	411,656609	711,448859	59,0503	0	352,606309
921,6	0	512201,8411	8551419,894	411,667968	716,369313	59,4587	0	352,209268
924,8	0	512200,461	8551417,008	411,757763	718,829541	59,6628	0	352,094963
927,2	0	512199,4364	8551414,839	411,829249	721,289768	59,867	0	351,962249
929,6	0	512198,4117	8551412,669	411,880272	721,289768	59,867	0	352,013272
932	0	512197,3616	8551410,513	411,948896	726,210222	60,2754	0	351,673496
935,2	0	512196,0224	8551407,608	412,005082	731,130677	60,6838	0	351,321282
938,4	0	512194,6658	8551404,712	412,022671	736,051131	61,0922	0	350,930471
942,4	0	512192,9411	8551401,104	412,097477	740,971586	61,5006	0	350,596877
944,8	0	512191,9298	8551398,928	412,119351	748,352268	62,1132	0	350,006151
948	0	512190,5334	8551396,049	412,183735	750,812495	62,3174	0	349,866335
951,2	0	512189,1312	8551393,173	412,201657	758,193177	62,93	0	349,271657
953,6	0	512188,1127	8551391	412,247146	765,573858	63,5426	0	348,704546
957,6	0	512186,4354	8551387,37	412,331128	763,113631	63,3384	0	348,992728
960,8	0	512185,1392	8551384,445	412,378758	770,494313	63,951	0	348,427758
963,2	0	512184,1137	8551382,276	412,388701	777,874995	64,5636	0	347,825101
964,8	0	512183,4234	8551380,833	412,358408	782,795449	64,972	0	347,386408
968,8	0	512181,7413	8551377,205	412,411023	787,715904	65,3804	0	347,030623
972,8	0	512180,0807	8551373,567	412,453357	790,176131	65,5846	0	346,868757
976,8	0	512178,3972	8551369,939	412,4648	792,636358	65,7888	0	346,676
