Dist	TrNo	Zone	X,m	Y,m	Alt, m	TD, ns	Hice, m	Bed,m
29483,75	6871	33X	514319,7963	8560124,6	330,1205	3325	279,3	50,8205
29489,465	6872	33X	514315,4987	8560128,354	330,5518	3335	280,14	50,4118
29495,088	6873	33X	514311,3425	8560132,129	330,247	3345	280,98	49,267
29500,608	6874	33X	514307,3302	8560135,908	329,9583	3360	282,24	47,7183
29506,045	6875	33X	514303,4361	8560139,693	329,6853	3370	283,08	46,6053
29511,421	6876	33X	514299,6347	8560143,486	329,4279	3380	283,92	45,5079
29516,757	6877	33X	514295,9	8560147,289	329,1858	3390	284,76	44,4258
29522,08	6878	33X	514292,2054	8560151,115	328,9594	3405	286,02	42,9394
29527,419	6879	33X	514288,524	8560154,975	328,7493	3415	286,86	41,8893
29532,8	6880	33X	514284,8288	8560158,882	328,5559	3425	287,7	40,8559
29538,222	6881	33X	514281,1141	8560162,828	328,3801	3435	288,54	39,8401
29543,563	6882	33X	514277,4586	8560166,72	327,4748	3440	288,96	38,5148
29548,673	6883	33X	514273,9618	8560170,443	328,0929	3450	289,8	38,2929
29553,399	6884	33X	514270,7236	8560173,884	327,9877	3455	290,22	37,7677
29557,651	6885	33X	514267,8023	8560176,973	327,1612	3465	291,06	36,1012
29561,582	6886	33X	514265,0907	8560179,819	327,1117	3470	291,48	35,6317
29565,406	6887	33X	514262,4406	8560182,574	327,8362	3480	292,32	35,5162
29569,335	6888	33X	514259,7035	8560185,393	327,8318	3485	292,74	35,0918
29573,583	6889	33X	514256,731	8560188,429	327,0957	3495	293,58	33,5157
29578,301	6890	33X	514253,4192	8560191,789	327,8745	3500	294	33,8745
29583,385	6891	33X	514249,8427	8560195,402	327,9123	3510	294,84	33,0723
29588,67	6892	33X	514246,1202	8560199,152	327,953	3515	295,26	32,693
29593,988	6893	33X	514242,3709	8560202,923	327,9901	3520	295,68	32,3101
29599,216	6894	33X	514238,6842	8560206,631	327,2685	3520	295,68	31,5885
29604,405	6895	33X	514235,0316	8560210,317	327,2873	3525	296,1	31,1873
29609,648	6896	33X	514231,355	8560214,054	327,2967	3530	296,52	30,7767
29615,038	6897	33X	514227,5964	8560217,918	327,297	3530	296,52	30,777
29620,621	6898	33X	514223,7292	8560221,944	327,2889	3535	296,94	30,3489
29626,25	6899	33X	514219,8527	8560226,026	327,2744	3535	296,94	30,3344
29631,731	6900	33X	514216,0973	8560230,017	327,2561	3540	297,36	29,8961
29636,867	6901	33X	514212,5939	8560233,774	327,2365	3540	297,36	29,8765
29641,536	6902	33X	514209,4262	8560237,204	326,468	3545	297,78	28,688
29645,893	6903	33X	514206,4908	8560240,424	326,4523	3550	298,2	28,2523
