 (515006.9998587634, 8548807.675611572)  (515162.5634687884, 8550250.90746569)  (516547.5603078193, 8550131.07077062)  (515893.15651632525, 8551929.914096458)  (515747.0382726429, 8554088.135801155)  (515750.3262238481, 8556351.232667234)  (514517.5432181399, 8558391.557178399)  (513426.2152977396, 8558036.613544408)  (512146.71438705095, 8559787.281523092)  (511306.55866280705, 8560838.897343334)  (511015.4631756453, 8562353.540173676)  (513207.7607448309, 8552897.456309091)  (513522.3531748425, 8549371.505679414)  (514275.87024050846, 8559868.280960066)  (513582.72160016705, 8555499.398465425)  (512829.9220442794, 8550924.904871017) 
 (515007.0191969832, 8548807.5652937)  (515162.71975296125, 8550250.549057743)  (516543.7973119622, 8550125.896385035)  (515894.35633922345, 8551926.548572129)  (515749.1853081083, 8554087.950696561)  (515752.1007091593, 8556351.584353004)  (514518.5704156501, 8558390.542288614)  (513426.724762972, 8558035.85109167)  (512145.40090836276, 8559786.99204298)  (511307.25242641824, 8560838.777727066)  (511015.3758673092, 8562353.628226243)  (513207.8247637134, 8552897.354812378)  (513522.5766131054, 8549371.787947625)  (514275.72038597264, 8559868.730648423)  (513582.92805226095, 8555499.559777336)  (512830.881785893, 8550924.613486331) 
 (515007.10066943784, 8548807.100024542)  (515162.95818944846, 8550249.997379357)  (516540.0100029896, 8550120.655636353)  (515895.57363271335, 8551923.049254829)  (515751.3822828105, 8554087.720515855)  (515754.033832465, 8556351.963739725)  (514519.5905221026, 8558389.54014949)  (513427.23542647075, 8558035.097883338)  (512144.2069519386, 8559786.741307946)  (511308.040994039, 8560838.642963912)  (511015.27024958306, 8562353.734738665)  (513207.88877614564, 8552897.253311597)  (513522.82616811723, 8549372.10310837)  (514275.5752426408, 8559869.166095793)  (513583.2433216811, 8555499.804330382)  (512831.82853809616, 8550924.324072672) 
 (515007.1817765407, 8548806.634691555)  (515163.10799317324, 8550249.66125015)  (516536.10018625914, 8550115.450501088)  (515897.00129067065, 8551919.5060652)  (515753.5813779864, 8554087.182299906)  (515756.001153355, 8556352.345399935)  (514520.551806806, 8558388.600858416)  (513427.80697742314, 8558034.26515919)  (512142.946065052, 8559786.48840429)  (511308.99543083686, 8560838.48148822)  (511015.1885693008, 8562353.817105718)  (513207.9255789484, 8552897.194945907)  (513523.07639300195, 8549372.419014223)  (514275.3791589131, 8559869.754271934)  (513583.597174223, 8555500.075815886)  (512832.7535355694, 8550924.03875938) 
 (515007.26250383223, 8548806.169292528)  (515163.30551247793, 8550249.215010164)  (516531.7626879352, 8550109.691142766)  (515898.57810137415, 8551915.37796285)  (515756.0799545576, 8554086.53127063)  (515758.0282995777, 8556352.73369646)  (514521.57552033704, 8558387.605270848)  (513428.3989148926, 8558033.412484555)  (512141.66711448925, 8559786.244499682)  (511309.7884296463, 8560838.348940538)  (511015.13364503806, 8562353.872489158)  (513207.94797895727, 8552897.159417896)  (513523.3111358741, 8549372.715290755)  (514275.19127371337, 8559870.317774508)  (513583.9729163694, 8555500.35481739)  (512833.6814395672, 8550923.74931479) 
 (515007.3428357944, 8548805.703825101)  (515163.4143303131, 8550248.966817338)  (516527.3363804381, 8550103.983294578)  (515900.0988784163, 8551911.191633528)  (515758.5607407235, 8554085.848607464)  (515760.180255661, 8556353.140126055)  (514522.7179022793, 8558386.499348834)  (513428.98430626746, 8558032.577190032)  (512140.45675219595, 8559786.025586184)  (511310.2619884366, 8560838.270569166)  (511015.09139493434, 8562353.915091138)  (513207.9799774037, 8552897.108662605)  (513523.53473212995, 8549372.99743383)  (514275.0773971154, 8559870.65928896)  (513584.40862818935, 8555500.673808316)  (512834.6253353265, 8550923.45071674) 
 (515007.4227559318, 8548805.238286788)  (515163.6945158184, 8550248.324246654)  (516521.84470791416, 8550097.367621)  (515901.5793935366, 8551906.1026184)  (515761.4384222558, 8554085.025808582)  (515762.45136221626, 8556353.562233878)  (514523.8627688073, 8558385.395999102)  (513429.72255044355, 8558031.531534478)  (512139.0276849848, 8559785.780092996)  (511310.83429413085, 8560838.176408706)  (511015.0209772429, 8562353.986093594)  (513208.01197349245, 8552897.057905829)  (513523.85785737965, 8549373.404852623)  (514274.96351917484, 8559871.000802964)  (513584.8143136783, 8555500.966074092)  (512835.5867469849, 8550923.141220983) 
 (515007.502246857, 8548804.772674993)  (515164.00237686065, 8550247.607572684)  (516515.60216078523, 8550089.606679993)  (515903.1131147055, 8551900.61283704)  (515764.4030565326, 8554084.154577496)  (515764.782832679, 8556353.98784577)  (514525.00973797735, 8558384.294835297)  (513430.53953118256, 8558030.382342383)  (512137.48762595793, 8559785.531460347)  (511311.4560500892, 8560838.074823627)  (511014.9364743278, 8562354.071294868)  (513208.0439670819, 8552897.007147478)  (513524.23069420626, 8549373.87495123)  (514274.85141545476, 8559871.342903469)  (513585.205709771, 8555501.243939346)  (512836.55569185957, 8550922.822558418) 
 (515007.58129037934, 8548804.306987038)  (515164.25895435637, 8550246.999487173)  (516510.0908568087, 8550083.3445324)  (515904.36207878636, 8551896.07145083)  (515766.8422064214, 8554083.428235414)  (515766.97299271246, 8556354.380049834)  (514526.02191460435, 8558383.313204778)  (513431.31510041043, 8558029.296963016)  (512136.11812745617, 8559785.324823337)  (511312.0779254155, 8560837.973971862)  (511014.8519694206, 8562354.156494169)  (513208.07755757717, 8552896.95384946)  (513524.5923459281, 8549374.33094688)  (514274.7334132093, 8559871.702012742)  (513585.5890807001, 8555501.512362018)  (512837.5174329545, 8550922.49809106) 
 (515007.6598675974, 8548803.841220174)  (515164.4445280868, 8550246.552476669)  (516505.99912465794, 8550078.330102023)  (515905.2280053725, 8551893.324712556)  (515768.4711189547, 8554082.941774769)  (515768.4503292894, 8556354.639812492)  (514526.3887337554, 8558382.958883299)  (513431.80439924024, 8558028.614184387)  (512135.61320152204, 8559785.253061222)  (511312.6999156997, 8560837.87383153)  (511014.7674625538, 8562354.241691524)  (513208.1255396078, 8552896.87770667)  (513524.8533317067, 8549374.660015905)  (514274.5644422102, 8559872.214895576)  (513585.9099433196, 8555501.734053649)  (512838.4525867921, 8550922.173149066) 
