515005.66 8548815.07, 515158.057 8550260.322, 516609.103 8550227.221, 515898.467 8551997.043, 515701.684 8554089.745, 515714.942 8556337.476, 514497.785 8558413.814, 513418.464 8558057.341, 512172.777 8559795.188, 511291.699 8560841.977, 511017.436 8562351.549, 513206.649 8552899.219, 513516.089 8549363.513, 514278.737 8559859.578, 513575.999 8555493.386, 512811.92 8550930.292, 
515014.5851762069 8548803.119454734, 515168.921247773 8550245.009241031, 516598.50984121015 8550195.17991224, 515893.11150609254 8551960.888620095, 515712.93255181244 8554055.947690181, 515750.05419290054 8556321.516279884, 514504.81762088934 8558377.417317577, 513439.24821607565 8558021.562714187, 512141.57736721856 8559770.3116817, 511255.5402349428 8560854.620384788, 510991.9199989067 8562374.335819885, 513235.1820168849 8552896.651263945, 513531.2081374781 8549382.7013542, 514292.8507141563 8559875.580534566, 513599.84328245313 8555499.798516497, 512837.4296525777 8550934.668049604, 
515014.76479389943 8548802.881279042, 515169.1473535932 8550244.709378926, 516598.3260072801 8550194.530352704, 515893.0314639669 8551960.161836648, 515713.12915446656 8554055.26281186, 515750.75256341527 8556321.188666716, 514505.02532382193 8558376.703704089, 513439.647168558 8558020.837563187, 512140.9983197634 8559769.761090575, 511254.80102671625 8560854.823108897, 510991.4158370453 8562374.79864378, 513235.7449906921 8552896.597061187, 513531.5106286055 8549383.085040163, 514293.1560378294 8559875.87886047, 513600.3206233376 8555499.925063277, 512837.9400093988 8550934.743253829, 
515014.9444708903 8548802.643148081, 515169.3736892222 8550244.409690242, 516598.14240757417 8550193.880726926, 515892.9525161417 8551959.434933517, 515713.32355004875 8554054.577303817, 515751.4507736708 8556320.860712143, 514505.2344491019 8558375.990506126, 513440.04292757687 8558020.110664394, 512140.4206049607 8559769.209101308, 511254.06042124494 8560855.0206675, 510990.9131077627 8562375.263023376, 513236.30796354153 8552896.542848483, 513531.81323906354 8549383.468632018, 514293.462027517 8559876.176503211, 513600.8013913235 8555500.03789302, 512838.45049193397 8550934.817599922, 
515015.1242082277 8548802.405062666, 515169.60025126085 8550244.110172685, 516597.95908418327 8550193.231023118, 515892.8747228163 8551958.707905926, 515713.51562336565 8554053.891141476, 515752.14883959154 8556320.532450458, 514505.4449460062 8558375.277711784, 513440.43537605484 8558019.381972931, 512139.844095616 8559768.655853154, 511253.3183308666 8560855.212573042, 510990.4173086468 8562375.734794907, 513236.8709344445 8552896.488615569, 513532.11597081396 8549383.852128156, 514293.7686962833 8559876.473446233, 513601.28065201885 8555500.156962719, 512838.9611017075 8550934.891067054, 
515015.3040069549 8548802.167023608, 515169.82703612145 8550243.810823807, 516597.77607984294 8550192.58122937, 515892.79814388533 8551957.980749417, 515713.70526027156 8554053.204301784, 515752.84677736834 8556320.203916406, 514505.6567572305 8558374.565306896, 513440.8244267781 8558018.651461747, 512139.26866068883 8559768.10148758, 511252.5746719068 8560855.398307309, 510989.922523226 8562376.207629476, 513237.43390248384 8552896.434352936, 513532.41882522916 8549384.23552743, 514294.07605617365 8559876.769673828, 513601.75997927855 8555500.275764173, 512839.47183997877 8550934.963635495, 
515015.4838681083 8548801.929031717, 515170.05404003535 8550243.511641009, 516597.5934377103 8550191.93133372, 515892.72283873043 8551957.253459891, 515713.892348517 8554052.516763488, 515753.54460321966 8556319.875144687, 514505.8850206276 8558373.858001772, 513441.21002419334 8558017.919121873, 512138.69416586444 8559767.546147829, 511251.8293664939 8560855.577320458, 510989.4286874328 8562376.681455763, 513237.9968668148 8552896.380051844, 513532.72180307773 8549384.61882917, 514294.3841181763 8559877.065171193, 513602.2393725004 8555500.394299172, 512839.9827077469 8550935.03528662, 
515015.6637927152 8548801.691087792, 515170.2812590612 8550243.212621547, 516597.411201122 8550191.281324238, 515892.64886598644 8551956.526033638, 515714.07677867 8554051.828507403, 515754.24233315996 8556319.54616947, 514506.11439437827 8558373.151055947, 513441.59214555327 8558017.184962269, 512138.12047406135 8559766.989978557, 511251.0823447083 8560855.749030441, 510988.93573682406 8562377.156202894, 513238.559826665 8552896.325704318, 513533.0249045145 8549385.002033189, 514294.6928921896 8559877.359924478, 513602.7188310297 8555500.512569735, 512840.49370575586 8550935.106002921, 
515015.84378179145 8548801.45319263, 515170.5086890935 8550242.913762543, 516597.22941333323 8550190.631189095, 515892.57628328144 8551955.798467372, 515714.2584451028 8554051.139516672, 515754.93998277927 8556319.217023952, 514506.3448317617 8558372.44445611, 513441.9708013801 8558016.449009268, 512137.5474458786 8559766.433125574, 511250.33354709635 8560855.912823, 510988.4436070046 8562377.631800814, 513239.12278133415 8552896.271303149, 513533.3281290751 8549385.385139788, 514295.0023869957 8559877.653920831, 513603.1983541626 8555500.630578091, 512841.0048345008 8550935.175768001, 
515016.02383633953 8548801.215347018, 515170.7363258717 8550242.615060985, 516597.0481172384 8550189.980916668, 515892.5051469496 8551955.070758266, 515714.43724703346 8554050.44977702, 515755.6375670357 8556318.887739928, 514506.5762836927 8558371.738187945, 513442.3460352457 8558015.711305667, 512136.9749399906 8559765.875735627, 511249.5829275614 8560856.068052445, 510987.95223402086 8562378.108180633, 513239.68573019357 8552896.216841895, 513533.63147567556 8549385.768149761, 514295.31261024 8559877.947148437, 513603.6779411491 8555500.748326678, 512841.51609423466 8550935.244566582, 
515016.2039573462 8548800.977551732, 515170.9641649894 8550242.316513736, 516596.86735507345 8550189.330495616, 515892.43551171786 8551954.342903985, 515714.6130896094 8554049.759276979, 515756.33510006306 8556318.558347398, 514506.80869957694 8558371.032236407, 513442.71792289586 8558014.97190954, 512136.40281349875 8559765.317956261, 511248.81748192327 8560856.027817618, 510987.4615547243 8562378.585274931, 513240.248672685 8552896.162314856, 513533.9349426158 8549386.151064396, 514295.62356841663 8559878.239596555, 513604.1575911965 8555500.865818122, 512842.0274849755 8550935.312384503, 
515016.3841457802 8548800.739807535, 515171.19220190414 8550242.01811754, 516596.6871681017 8550188.679914985, 515892.36743036745 8551953.614902714, 515714.789951981 8554049.06903744, 515757.03259499476 8556318.228874208, 514507.0420281881 8558370.326586014, 513443.08657077193 8558014.230892805, 512135.830922253 8559764.7599357, 511248.05357468384 8560855.96479702, 510986.97150710155 8562379.06301803, 513240.81160831935 8552896.10771707, 513534.2385275887 8549386.533885457, 514295.93526686006 8559878.531255553, 513604.63730347273 8555500.98305523, 512842.53900651395 8550935.37920872, 
515016.5644025898 8548800.502115175, 515171.4204319473 8550241.719869034, 516596.5075962844 8550188.02916429, 515892.3009533724 8551952.88675319, 515714.9639345475 8554048.378066394, 515757.7300638039 8556317.899345722, 514507.27621854766 8558369.621221147, 513443.45211400243 8558013.48833964, 512135.2591211563 8559764.201822763, 511247.2919545157 8560855.878422339, 510986.48203057126 8562379.54134623, 513241.374536675 8552896.05304429, 513534.542227693 8549386.916615188, 514296.2477097427 8559878.82211692, 513605.1170771096 8555501.100040976, 512843.0506584211 8550935.445027305, 
515016.7447287009 8548800.264475387, 515171.6488503344 8550241.42176475, 516596.328677938 8550187.378233626, 515892.23612851906 8551952.158454722, 515715.13497395447 8554047.686360937, 515758.42751716013 8556317.569784531, 514507.5112207889 8558368.916126356, 513443.8147139521 8558012.744344793, 512134.6872644663 8559763.643766789, 511246.5334031963 8560855.7683053, 510985.9930662471 8562380.020198014, 513241.9374573959 8552895.998292955, 513534.8460394505 8549387.299256295, 514296.5609000778 8559879.112173302, 513605.596911206 8555501.21677849, 512843.5624400566 8550935.509829449, 
515016.9251250142 8548800.026888885, 515171.8774521758 8550241.123801125, 516596.1504493822 8550186.727113757, 515892.1730005109 8551951.430007212, 515715.3030136767 8554046.993920635, 515759.1249643024 8556317.24021019, 514507.74698698905 8558368.211286645, 513444.1745554236 8558011.999011867, 512134.1152061112 8559763.085917542, 511245.7787141423 8560855.63425196, 510985.50455716794 8562380.499514215, 513242.5003701896 8552895.94346018, 513535.1499588275 8549387.681811929, 514296.87483972835 8559879.401418502, 513606.0768048314 8555501.333271047, 512844.07435057685 8550935.57360546, 
515017.1055924032 8548799.789356368, 515172.106232487 8550240.82597451, 516595.97294458083 8550186.07579621, 515892.11161056376 8551950.701411169, 515715.46800452756 8554046.300747542, 515759.8224129274 8556316.910638986, 514507.98347195523 8558367.506687768, 513444.5318436089 8558011.252451615, 512133.5428000335 8559762.528425097, 511245.02866945404 8560855.476268316, 510985.0164484964 8562380.979238162, 513243.063274825 8552895.888543716, 513535.45398125995 8549388.064285668, 514297.18952942063 8559879.689847501, 513606.5567570284 8555501.449522052, 512844.58638894337 8550935.636346765, 
515017.2876233667 8548799.553019946, 515172.33518620004 8550240.528281175, 516595.79619478184 8550185.424273368, 515892.0519959984 8551949.972667713, 515715.62990514206 8554045.606846172, 515760.5198690927 8556316.58108374, 514508.22063395206 8558366.802316483, 513444.88680088235 8558010.504780304, 512132.96990057715 8559761.971439678, 511244.2840174436 8560855.29455632, 510984.5286876864 8562381.459315794, 513243.6261711297 8552895.833541928, 513535.75810168195 8549388.446681496, 514297.504968763 8559879.977456456, 513607.03676681616 8555501.56553503, 512845.09855393117 8550935.698045919, 
515017.46971154184 8548799.316727603, 515172.56430817384 8550240.230717324, 516595.62022816 8550184.772538567, 515892.0135044262 8551949.242503814, 515715.78868243156 8554044.912223475, 515761.2173371335 8556316.251553627, 514508.4584353628 8558366.098160813, 513445.23966352263 8558009.756118154, 512132.3963629319 8559761.415111436, 511243.54545267334 8560855.08950036, 510984.04122462316 8562381.939695751, 513244.1890589877 8552895.778453764, 513536.06231455714 8549388.829003777, 514297.82115626894 8559880.264242703, 513607.5168331933 8555501.681313615, 512845.61084413726 8550935.758696599, 
515017.6518572545 8548799.080479609, 515172.79359320574 8550239.933279099, 516595.4450694696 8550184.120586164, 515891.9769884765 8551948.512238448, 515715.94431200565 8554044.216888769, 515761.9148195929 8556315.922054034, 514508.69684327685 8558365.394210257, 513445.5906784367 8558009.00658791, 512131.82204364636 8559760.859590147, 511242.8136002706 8560854.861645304, 510983.55401173566 8562382.42032944, 513244.7519383367 8552895.723278724, 513536.36661391315 8549389.21125723, 514298.13808938436 8559880.550204746, 513607.99695514044 8555501.79686154, 512846.1232579891 8550935.818293618, 
515017.83406079584 8548798.844276212, 515173.02303604246 8550239.635962587, 516595.2707397129 8550183.468411617, 515891.9424059887 8551947.781878967, 515716.09677855816 8554043.520853663, 515762.61231716466 8556315.592586432, 514508.9358300004 8558364.690455992, 513445.94009994925 8558008.256313518, 512131.24680121936 8559760.305024827, 511242.0890057482 8560854.611668017, 510983.0670040857 8562382.901171088, 513245.31480916514 8552895.668016829, 513536.670993378 8549389.593446897, 514298.45576451824 8559880.835342256, 513608.47713162284 8555501.912182627, 512846.63579375314 8550935.876832929, 
515018.01632242155 8548798.608117633, 515173.252631391 8550239.338763833, 516595.0972558315 8550182.816011552, 515891.9097097848 8551947.051432611, 515716.24607621314 8554042.824131962, 515763.30982864765 8556315.263148282, 514509.17537348747 8558363.986891044, 513446.28818670806 8558007.505418941, 512130.67049677507 8559759.751563236, 511241.3721308684 8560854.340344828, 510982.5801594343 8562383.382177768, 513245.8776715095 8552895.612668587, 513536.97544621845 8549389.975578116, 514298.7741770769 8559881.119656049, 513608.9573615929 8555502.027280772, 512847.14844954334 8550935.93431163, 
515018.1986423514 8548798.372004062, 515173.4823739299 8550239.041678846, 516594.92463042866 8550182.163383806, 515891.87884819426 8551946.320906444, 515716.3922088272 8554042.126739549, 515764.0073509128 8556314.933732962, 514509.41545769194 8558363.283510426, 513446.6351987433 8558006.754027097, 512130.0929948251 8559759.199351283, 511240.66335538676 8560854.04851751, 510982.0934382882 8562383.86330942, 513246.44052545156 8552895.557234963, 513537.2799653802 8549390.357656486, 514299.09332150087 8559881.403148072, 513609.43764399254 8555502.142159943, 512847.66122332995 8550935.990727976, 
515018.3810207683 8548798.135935664, 515173.7122583199 8550238.74470361, 516594.75287152914 8550181.510527479, 515891.8497655931 8551945.59030729, 515716.535190244 8554041.428694254, 515764.70487888163 8556314.60432972, 514509.65607284143 8558362.58031126, 513446.9813947091 8558006.002258908, 512129.5141641141 8559758.6485323, 511239.96298392606 8560853.737060156, 510981.60680392827 8562384.344528852, 513247.003371115 8552895.501717348, 513537.58454352873 8549390.739687836, 514299.41319130437 8559881.685821379, 513609.9179777549 8555502.256824166, 512848.174112948 8550936.046081387, 
