515005.66 8548815.07, 515158.057 8550260.322, 516609.103 8550227.221, 515898.467 8551997.043, 515701.684 8554089.745, 515714.942 8556337.476, 514497.785 8558413.814, 513418.464 8558057.341, 512172.777 8559795.188, 511291.699 8560841.977, 511017.436 8562351.549, 513206.649 8552899.219, 513516.089 8549363.513, 514278.737 8559859.578, 513575.999 8555493.386, 512811.92 8550930.292, 
515007.7941665579 8548812.195993003, 515160.60487626767 8550256.604712682, 516606.47455765196 8550219.558480833, 515896.93584993074 8551988.403680127, 515704.563607531 8554081.694035228, 515723.3354211009 8556333.572751049, 514498.7086141157 8558404.943285987, 513423.56725041603 8558048.820823243, 512164.98509972094 8559789.600365477, 511283.1304845975 8560845.32069068, 511011.4926488367 8562357.21371692, 513213.5323343023 8552898.648881456, 513519.74467992847 8549368.096759675, 514281.9951501163 8559863.530385505, 513581.7214096922 8555494.925829183, 512818.0116499145 8550931.393354217, 
515007.97220053466 8548811.956631187, 515160.81793180463 8550256.295441827, 516606.255483344 8550218.919944262, 515896.8159894815 8551987.682393504, 515704.80177143926 8554081.022478178, 515724.0376300698 8556333.253448173, 514498.78996261733 8558404.204525445, 513424.0075741349 8558048.120022217, 512164.3388373531 8559789.13048092, 511282.4138848293 8560845.592739644, 511010.98173452384 8562357.669075796, 513214.1057653695 8552898.599224636, 513520.04763383314 8549368.48008034, 514282.2723180948 8559863.855037322, 513582.198199686 8555495.054435983, 512818.51945807907 8550931.484187186, 
515008.15026433085 8548811.717291554, 515161.03113431035 8550255.98627227, 516606.0367979864 8550218.28127438, 515896.6970351977 8551986.960956883, 515705.0397367895 8554080.350850744, 515724.74007837055 8556332.934672158, 514498.8719959207 8558403.46584063, 513424.4486432798 8558047.419690106, 512163.69318453857 8559788.659759149, 511281.6971781506 8560845.86450683, 511010.46957672865 8562358.123035634, 513214.6791802518 8552898.54938127, 513520.35038174875 8549368.863563716, 514282.5501235131 8559864.179143848, 513582.67498010723 8555495.183078267, 512819.02727931633 8550931.57494704, 
515008.3283582775 8548811.477974355, 515161.2444910672 8550255.67720914, 516605.8184917876 8550217.642474797, 515896.5789273397 8551986.239381207, 515705.27751837234 8554079.679158228, 515725.4427275356 8556332.616339134, 514498.95471459994 8558402.727232251, 513424.8903872729 8558046.719783468, 512163.0481927467 8559788.188132036, 511280.9804182912 8560846.136133725, 511009.9563634528 8562358.575801881, 513215.25258131133 8552898.499379136, 513520.6529363577 8549369.247199623, 514282.82852771366 8559864.50273617, 513583.1517517784 8555495.311752977, 512819.5351118296 8550931.665643781, 
515008.5064827327 8548811.238679864, 515161.45800932025 8550255.36825756, 516605.60055171285 8550217.003550211, 515896.46160744043 8551985.517677, 515705.5151303389 8554079.007405689, 515726.14660057466 8556332.300721474, 514499.03811871755 8558401.988700958, 513425.332732747 8558046.020256815, 512162.40391983127 8559787.715523368, 511280.26365686196 8560846.407756478, 511009.44227092585 8562359.027569536, 513215.8259708355 8552898.449244896, 513520.95531049947 8549369.630977787, 514283.10749493487 8559864.825843241, 513583.62851560145 8555495.440456763, 512820.04295407626 8550931.756286006, 
515008.68463808205 8548810.999408372, 515161.67169626977 8550255.059422635, 516605.38296159875 8550216.364506358, 515896.3450185567 8551984.79585434, 515705.75258619577 8554078.335597953, 515726.85050907545 8556331.98518291, 514499.12220777833 8558401.250247339, 513425.7301156817 8558045.294244515, 512161.7604300478 8559787.241848962, 511279.5469432773 8560846.679505449, 511008.9274646083 8562359.478523633, 513216.39935102384 8552898.399003996, 513521.25751711446 8549370.014887884, 514283.386992278 8559865.14849185, 513584.1052725548 8555495.569185993, 512820.5508047604 8550931.846880944, 
515008.86282473855 8548810.760160193, 515161.8855590631 8550254.750709452, 516605.1657023027 8550215.72534996, 515896.22910549864 8551984.073922845, 515705.98989880655 8554077.663739601, 515727.5544423424 8556331.6696996, 514499.2069806762 8558400.51187191, 513426.1283469572 8558044.5686972, 512161.11779400427 8559786.767016929, 511278.8303246576 8560846.95150475, 511008.41210007493 8562359.928839676, 513216.9727239763 8552898.348680584, 513521.5595691888 8549370.398919582, 514283.6669896728 8559865.470706606, 513584.58202368947 8555495.697936771, 512821.0586628243 8550931.937434506, 
515009.04104314273 8548810.520935662, 515162.09960478626 8550254.442123074, 516604.94875188416 8550215.086088654, 515896.11381503724 8551983.351891661, 515706.2270803986 8554076.991834987, 515728.258389781 8556331.354247913, 514499.292435636 8558399.773575108, 513426.52752746723 8558043.843671698, 512160.47608853906 8559786.29092803, 511278.1138457145 8560847.223871764, 511007.89632378565 8562360.37868405, 513217.5460916824 8552898.298297431, 513521.86147970066 8549370.783062581, 514283.9474598415 8559865.792509923, 513585.05877012527 8555495.826704947, 512821.56652743946 8550932.027951317, 
515009.2192937628 8548810.281735135, 515162.3138404549 8550254.133668536, 516604.73208581255 8550214.446730915, 515895.9990960883 8551982.629769454, 515706.4641425747 8554076.31988823, 515728.96234096616 8556331.038804587, 514499.42279854487 8558399.04187146, 513426.9277502567 8558043.119221026, 512159.83539651876 8559785.81347617, 511277.3975486207 8560847.496716665, 511007.38027375116 8562360.828214364, 513218.11945601116 8552898.24787586, 513522.1632615682 8549371.16730665, 514284.228378261 8559866.113922013, 513585.53551304643 8555495.955486136, 512822.0743979975 8550932.118434777, 
515009.3975770946 8548810.042558989, 515162.52827300504 8550253.825350834, 516604.51567719737 8550213.807285989, 515895.8848998723 8551981.907564396, 515706.7010963294 8554075.647903232, 515729.66628570756 8556330.723346882, 514499.5557611639 8558398.310635753, 513427.3290984793 8558042.395393243, 512159.195806548 8559785.334549021, 511276.6814728702 8560847.770141948, 511006.8640800996 8562361.277579756, 513218.6928187029 8552898.197435675, 513522.46492759977 8549371.55164167, 514284.50972312334 8559866.434960887, 513586.01225369726 8555496.084275728, 512822.58227409987 8550932.208887113, 
